Player,Nationality,Born,Region,Status,Current Role,Team,Approx. Total Winnings,Controller
Davitrox,Chile,17,South America,Active,Player,,"$6,718",Not Listed
Davinsano,Brazil,20,South America,Active,Player,,"$3,836",PlayStation
Royales,Brazil,17,South America,Active,Player,Novus Aevi,"$6,992",Not Listed
YanD,Brazil,19,South America,Active,Player,Epiphany,"$6,712",Not Listed
Repi,Brazil,20,South America,Active,Player,,"$21,735",XBOX Robot(White)
Darxtz,Brazil,15,South America,Active,Player,,,Not Listed
ISuquin,Brazil,16,South America,Active,Player,,,Not Listed
Nikko,Argentina,,South America,Active,Player,Flexibility,$47,Not Listed
Manteca,Argentina,19,South America,Active,Player,,"$1,636",Not Listed
TaTu,Argentina,16,South America,Active,Player,Cavaliers,"$1,110",KBM
Szaro,Argentina,21,South America,Active,Player,,"$4,868",Not Listed
Twistt,Brazil,18,South America,Active,Player,balaio beautiful,$133,Not Listed
Klaus,Brazil,17,South America,Active,Player,Hallzs,$289,Not Listed
Pedrinho,Brazil,19,South America,Active,Player,,$867,PlayStation
Aguz,ArgentinaSpain,17,South America,Active,Player,Backroom Enjoyers,"$4,710",Not Listed
Lexim,Argentina,23,South America,Active,Player,,"$9,240",PlayStation
SrNaniiTou,Argentina,20,South America,Active,Player,Atypical,"$4,520",Not Listed
Tander,Brazil,23,South America,Active,Player,Novus Aevi,"$61,730",Not Listed
PJ,Brazil,19,South America,Active,Player,,"$24,102",Not Listed
Luk,Brazil,18,South America,Active,,Epiphany,"$15,521",Not Listed
FAsi,Brazil,21,South America,Retired,Coach,,"$8,779",Not Listed
FirefoxD,Brazil,20,South America,Active,Player,,"$28,105",Not Listed
Kv1,Brazil,16,South America,Active,Player,The Club,"$23,698",Xbox
Klawzt,Argentina,,South America,Active,Player,True Neutral,$319,KBM
Navarro,Uruguay,20,South America,Active,Player,True Neutral,"$1,590",Not Listed
Mathz,Uruguay,,South America,Active,Player,,"$1,442",Not Listed
Baait,Brazil,17,South America,Active,Player,,$756,Not Listed
Treulha,Brazil,15,South America,Active,Player,Atypical,"$1,600",Not Listed
Sobral,Brazil,16,South America,Active,Player,Atypical,"$1,620",Not Listed
Ahmad,Saudi Arabia,19,Middle East,Active,Player,Team Falcons,"$175,740",PlayStation
OKhaliD,Saudi Arabia,19,Middle East,Active,Player,Team Falcons,"$176,228",PlayStation
Trk511,Saudi Arabia,17,Middle East,Active,Player,Team Falcons,"$153,199",Not Listed
Sythe,Saudi Arabia,,Middle East,Active,Player,Miracle Makers,"$2,636",PlayStation
Ix,Saudi Arabia,15,Middle East,Active,Player,,"$16,079",PlayStation
EviL,Saudi Arabia,18,Middle East,Active,Player,,"$10,792",Not Listed
Hisoka,Saudi Arabia,,Middle East,Active,Player,,"$1,693",PlayStation
NightMareX,Kuwait,16,Middle East,Active,Player,Eternal Fire,$814,Not Listed
Mzxy,Saudi Arabia,16,Middle East,Active,Player,Onyx Ravens,"$1,422",PlayStation
NawaF90,Saudi Arabia,,Middle East,Active,Player,,"$1,200",Not Listed
T7LM,Saudi Arabia,20,Middle East,Active,Player,ANKAA,"$12,274",PlayStation
Twty,Saudi Arabia,,Middle East,Active,Player,,"$2,142",Not Listed
Twiz,Saudi Arabia,18,Middle East,Active,Player,Veloce Esports,"$23,749",PlayStation
Ali.,Saudi Arabia,19,Middle East,Active,Player,Cola,"$10,683",PlayStation
Smw.,Saudi Arabia,20,Middle East,Active,Player,Veloce Esports,"$19,141",PlayStation
VorTex,Saudi Arabia,20,Middle East,Active,Player,blue scarf,$33,PlayStation
Ams,Saudi Arabia,21,Middle East,Active,Player,,"$58,310",PlayStation
M7sn,Saudi Arabia,17,Middle East,Active,Player,,"$59,011",PlayStation
Zez0nix,Saudi Arabia,19,Middle East,Active,Player,,"$58,837",PlayStation
Msh,Saudi Arabia,,Middle East,Active,Player,Twisted Minds,"$8,334",PlayStation
D7oom-24,Saudi Arabia,19,Middle East,Active,Player,Twisted Minds,"$9,334",PlayStation
Chikage,Saudi Arabia,,Middle East,Active,Player,+966,"$9,319",PlayStation
B2seL,Saudi Arabia,18,Middle East,Active,Player,F16 Esports,"$32,097",PlayStation
Abdulaziz,Saudi Arabia,17,Middle East,Active,Player,+966,"$3,753",PlayStation
